id,tópico
1,Mudança Climática
2,Inteligência Artificial
3,Trabalho Remoto
4,Computação Quântica
5,Veículos Elétricos
6,Mudança Climática
7,Inteligência Artificial
8,Trabalho Remoto
9,Computação Quântica
10,Veículos Elétricos
11,Ioga
12,Agricultura Urbana
13,Exploração Espacial
14,Realidade Virtual
15,Energia Renovável
16,Ioga
17,Agricultura Urbana
18,Exploração Espacial
19,Realidade Virtual
20,Energia Renovável
21,Cibersegurança
22,Envelhecimento da População
23,Poluição Plástica
24,Saúde Mental
25,Educação Online
26,Cibersegurança
27,Envelhecimento da População
28,Poluição Plástica
29,Saúde Mental
30,Educação Online
31,Indústria da Moda
32,Oceanos e Clima
33,Meditação
34,Biodiversidade
35,Turismo Sustentável
36,Oceanos e Clima
37,Meditação
38,Biodiversidade
39,Turismo Sustentável
40,Indústria da Moda
